,datetime,next_change_id
305,2019-09-19 13:00:00,489656925-506697885-478119180-546893392-519543500
306,2019-09-19 14:00:00,489707750-506752533-478165444-546944497-519594127
307,2019-09-19 15:00:00,489756003-506800641-478212459-546996549-519643570
308,2019-09-19 16:00:00,489804531-506849233-478260609-547050556-519692431
309,2019-09-19 17:00:00,489851283-506895256-478305814-547101525-519739612
310,2019-09-19 18:00:00,489894803-506940873-478351146-547149318-519784765
311,2019-09-19 19:00:00,489936886-506983673-478392345-547199696-519827897
312,2019-09-19 20:00:00,489978240-507025488-478433217-547241002-519876825
313,2019-09-19 21:00:00,490023099-507066525-478470885-547284631-519917962
314,2019-09-19 22:00:00,490058231-507103700-478503496-547321762-519953369
315,2019-09-19 23:00:00,490088730-507135717-478532307-547354929-519985470
316,2019-09-20 00:00:00,490115733-507164977-478557854-547384992-520014283
317,2019-09-20 01:00:00,490141990-507192198-478583732-547414529-520043670
318,2019-09-20 02:00:00,490168118-507220675-478609342-547443584-520072586
319,2019-09-20 03:00:01,490194967-507250097-478635947-547473088-520101846
320,2019-09-20 04:00:00,490221165-507277011-478663093-547501091-520129951
321,2019-09-20 05:00:00,490247613-507304533-478689089-547528763-520157499
322,2019-09-20 06:00:01,490273040-507330917-478714730-547555061-520186881
323,2019-09-20 07:00:00,490301694-507358652-478740778-547583465-520216037
324,2019-09-20 08:00:00,490331195-507388500-478768535-547613061-520245973
325,2019-09-20 09:00:00,490362351-507418613-478797818-547645249-520277214
326,2019-09-20 10:00:00,490394097-507450531-478827864-547679095-520310006
327,2019-09-20 11:00:01,490431626-507486055-478861869-547718317-520345227
328,2019-09-20 12:00:00,490471451-507526888-478898917-547760148-520384751
329,2019-09-20 13:00:00,490514706-507568161-478940713-547805876-520427594
330,2019-09-20 14:00:00,490562557-507613611-478984079-547856445-520475074
331,2019-09-20 15:00:00,490615686-507665698-479033741-547908384-520533608
332,2019-09-20 16:00:00,490671799-507713282-479082739-547970326-520584047
333,2019-09-20 17:00:01,490721893-507759413-479129192-548024836-520631510
334,2019-09-20 18:00:00,490768032-507805407-479172757-548074400-520677032
335,2019-09-20 19:00:00,490812028-507849207-479216997-548120789-520721379
336,2019-09-20 20:00:01,490854739-507892800-479258901-548166820-520771729
337,2019-09-20 21:00:00,490892545-507930926-479299666-548207445-520811919
338,2019-09-20 22:00:00,490927086-507969892-479339422-548245165-520849434
339,2019-09-20 23:00:00,490960298-508006367-479378242-548283611-520886537
340,2019-09-21 00:00:00,490992038-508039181-479412312-548317716-520920641
341,2019-09-21 01:00:00,491023474-508070765-479443026-548350829-520953896
342,2019-09-21 02:00:00,491054304-508103571-479473745-548384216-520986210
343,2019-09-21 03:00:00,491086535-508139926-479505560-548418117-521018299
344,2019-09-21 04:00:00,491119414-508175565-479536052-548453119-521050060
345,2019-09-21 05:00:00,491152861-508211591-479569289-548487602-521084223
346,2019-09-21 06:00:00,491186021-508247553-479604604-548523388-521119914
347,2019-09-21 07:00:00,491221410-508285792-479644088-548560329-521160174
348,2019-09-21 08:00:00,491261487-508327087-479681922-548602685-521202757
349,2019-09-21 09:00:00,491302776-508369191-479723440-548648132-521246921
350,2019-09-21 10:00:00,491345322-508412920-479765410-548694423-521294732
351,2019-09-21 11:00:00,491388843-508457242-479808259-548743863-521343560
352,2019-09-21 12:00:00,491435469-508504347-479869489-548793842-521393302
353,2019-09-21 13:00:00,491482383-508554144-479917450-548847308-521444752
354,2019-09-21 14:00:00,491537690-508609674-479969656-548904861-521501312
355,2019-09-21 15:00:00,491590249-508667301-480021755-548962255-521556962
356,2019-09-21 16:00:00,491644818-508722972-480076250-549022873-521615911
357,2019-09-21 17:00:00,491698888-508777527-480128055-549080988-521670032
358,2019-09-21 18:00:00,491748382-508829071-480176895-549135749-521723697
359,2019-09-21 19:00:00,491806627-508877320-480222958-549187584-521773951
360,2019-09-21 20:00:00,491858261-508922138-480266239-549236410-521822708
361,2019-09-21 21:00:00,491903377-508965723-480309905-549283886-521868677
362,2019-09-21 22:00:00,491942989-509005317-480348324-549329155-521910478
363,2019-09-21 23:00:00,491976791-509040000-480379998-549367012-521945472
364,2019-09-22 00:00:00,492015119-509080608-480419200-549408404-521985645
365,2019-09-22 01:00:00,492052861-509119662-480454622-549448522-522024638
366,2019-09-22 02:00:00,492089668-509159417-480489669-549488629-522062420
367,2019-09-22 03:00:00,492127382-509201873-480525237-549528878-522099767
368,2019-09-22 04:00:00,492165124-509243306-480559910-549569511-522136217
369,2019-09-22 05:00:00,492202911-509284339-480595738-549609164-522174312
370,2019-09-22 06:00:00,492239906-509324261-480633084-549649383-522212877
371,2019-09-22 07:00:00,492278484-509365496-480673525-549689844-522254421
372,2019-09-22 08:00:00,492320352-509408271-480711960-549734319-522297185
373,2019-09-22 09:00:00,492362388-509452397-480752530-549780369-522346091
374,2019-09-22 10:00:01,492405713-509496018-480792918-549827185-522392331
375,2019-09-22 11:00:00,492453547-509540065-480833831-549875854-522439514
376,2019-09-22 12:00:01,492501549-509587885-480888622-549926925-522488614
377,2019-09-22 13:00:00,492550601-509638242-480937232-549983155-522540867
378,2019-09-22 14:00:00,492606040-509693115-480987118-550040373-522596575
379,2019-09-22 15:00:00,492660086-509752670-481036730-550097892-522651849
380,2019-09-22 16:00:00,492714592-509807124-481086625-550157519-522707427
381,2019-09-22 17:00:00,492766330-509860293-481133753-550214887-522758026
382,2019-09-22 18:00:00,492815069-509911778-481200175-550270688-522814990
383,2019-09-22 19:00:00,492866088-509958247-481243551-550319898-522860329
384,2019-09-22 20:00:00,492916078-510004960-481287689-550378528-522907966
385,2019-09-22 21:00:00,492954924-510045204-481324189-550422538-522947967
386,2019-09-22 22:00:00,492992022-510082908-481358033-550464735-522986364
387,2019-09-22 23:00:00,493024182-510115159-481386982-550500761-523018451
388,2019-09-23 00:00:00,493053110-510144739-481415199-550533135-523049582
389,2019-09-23 01:00:00,493081978-510173627-481440338-550564501-523078958
390,2019-09-23 02:00:00,493109554-510201657-481465499-550595866-523107629
391,2019-09-23 03:00:00,493136964-510230026-481490079-550626832-523136344
392,2019-09-23 04:00:00,493163356-510259034-481518161-550656313-523162634
393,2019-09-23 05:00:00,493189661-510286541-481541511-550684913-523189044
394,2019-09-23 06:00:00,493215163-510311432-481566551-550713175-523214039
395,2019-09-23 07:00:00,493241815-510336926-481593248-550740602-523239219
396,2019-09-23 08:00:00,493269462-510362027-481618900-550770011-523265068
397,2019-09-23 09:00:00,493296530-510392064-481644494-550799299-523310261
